step,action,reward,done,agent_x,agent_y,agent_z,agent_energy,altitude,steps_so_far,energy,total_nectar_collected,flowers_found_this_episode,last_flower_visited,nearest_flower_distance
160,3,-5.052499999999999,False,1.0,2.0,6.0,95.0,6.0,161,95.0,146.69998168945312,0,-1,0.6970309019088745
161,1,-5.053,False,1.0,3.0,6.0,94.0,6.0,162,94.0,146.69998168945312,0,-1,0.5947436690330505
162,2,-0.0535,False,0.0,3.0,6.0,93.0,6.0,163,93.0,146.69998168945312,0,-1,1.4440383911132812
163,5,-0.05385000000000001,False,0.0,3.0,5.0,92.30000305175781,5.0,164,92.3,146.69998168945312,0,-1,1.8549907207489014
164,5,-0.054200000000000005,False,0.0,3.0,4.0,91.5999984741211,4.0,165,91.6,146.69998168945312,0,-1,2.6070547103881836
165,3,-0.054700000000000006,False,1.0,3.0,4.0,90.5999984741211,4.0,166,90.6,146.69998168945312,0,-1,2.250601291656494
166,4,-0.055400000000000005,False,1.0,3.0,5.0,89.19999694824219,5.0,167,89.19999999999999,146.69998168945312,0,-1,1.3074644804000854
167,6,-0.05650000000000001,False,1.0,3.0,5.0,87.0,5.0,168,86.99999999999999,146.69998168945312,0,-1,1.3074644804000854
168,1,-0.05700000000000001,False,1.0,4.0,5.0,86.0,5.0,169,85.99999999999999,146.69998168945312,0,-1,1.891383409500122
169,3,-0.05750000000000001,False,2.0,4.0,5.0,85.0,5.0,170,84.99999999999999,146.69998168945312,0,-1,1.9610722064971924
170,0,-0.05800000000000001,False,2.0,3.0,5.0,84.0,5.0,171,83.99999999999999,146.69998168945312,0,-1,1.4063912630081177
171,6,-0.059100000000000014,False,2.0,3.0,5.0,81.80000305175781,5.0,172,81.79999999999998,146.69998168945312,0,-1,1.4063912630081177
172,5,-0.05945000000000001,False,2.0,3.0,4.0,81.0999984741211,4.0,173,81.09999999999998,146.69998168945312,0,-1,2.309476137161255
173,5,-0.05980000000000001,False,2.0,3.0,3.0,80.4000015258789,3.0,174,80.39999999999998,146.69998168945312,0,-1,1.9588541984558105
174,1,-0.06030000000000001,False,2.0,4.0,3.0,79.4000015258789,3.0,175,79.39999999999998,146.69998168945312,0,-1,2.6954243183135986
175,5,-0.060650000000000016,False,2.0,4.0,2.0,78.69999694824219,2.0,176,78.69999999999997,146.69998168945312,0,-1,2.6779911518096924
176,3,-0.06115000000000002,False,3.0,4.0,2.0,77.69999694824219,2.0,177,77.69999999999997,146.69998168945312,0,-1,2.494502305984497
177,0,-0.06165000000000001,False,3.0,3.0,2.0,76.69999694824219,2.0,178,76.69999999999997,146.69998168945312,0,-1,1.498902440071106
178,4,-0.062350000000000017,False,3.0,3.0,3.0,75.30000305175781,3.0,179,75.29999999999997,146.69998168945312,0,-1,1.699415922164917
179,4,-0.06305000000000002,False,3.0,3.0,4.0,73.9000015258789,4.0,180,73.89999999999996,146.69998168945312,0,-1,2.3514506816864014
180,3,-0.06355000000000002,False,4.0,3.0,4.0,72.9000015258789,4.0,181,72.89999999999996,146.69998168945312,0,-1,1.6589767932891846
181,3,-0.06405000000000002,False,5.0,3.0,4.0,71.9000015258789,4.0,182,71.89999999999996,146.69998168945312,0,-1,1.2619074583053589
182,0,29.948999999999998,False,5.0,2.0,4.0,98.0,4.0,183,98.0,161.69998168945312,0,-1,0.8022758364677429
183,2,-0.051500000000000004,False,4.0,2.0,4.0,97.0,4.0,184,97.0,161.69998168945312,0,-1,1.342922329902649
184,2,-0.052000000000000005,False,3.0,2.0,4.0,96.0,4.0,185,96.0,161.69998168945312,0,-1,1.8850696086883545
185,4,-0.052700000000000004,False,3.0,2.0,5.0,94.5999984741211,5.0,186,94.6,161.69998168945312,0,-1,2.0898518562316895
186,5,-0.05305000000000001,False,3.0,2.0,4.0,93.9000015258789,4.0,187,93.89999999999999,161.69998168945312,0,-1,1.8850696086883545
187,4,-0.05375000000000001,False,3.0,2.0,5.0,92.5,5.0,188,92.49999999999999,161.69998168945312,0,-1,2.0898518562316895
188,4,-0.05445000000000001,False,3.0,2.0,6.0,91.0999984741211,6.0,189,91.09999999999998,161.69998168945312,0,-1,1.7386195659637451
189,5,-0.054800000000000015,False,3.0,2.0,5.0,90.4000015258789,5.0,190,90.39999999999998,161.69998168945312,0,-1,2.0898518562316895
190,4,-0.05550000000000002,False,3.0,2.0,6.0,89.0,6.0,191,88.99999999999997,161.69998168945312,0,-1,1.7386195659637451
191,2,29.948999999999998,False,2.0,2.0,6.0,98.0,6.0,192,98.0,167.69998168945312,0,-1,0.8685188293457031
192,5,-0.05135000000000001,False,2.0,2.0,5.0,97.30000305175781,5.0,193,97.3,167.69998168945312,0,-1,1.4526073932647705
193,1,-0.05185000000000001,False,2.0,3.0,5.0,96.30000305175781,5.0,194,96.3,167.69998168945312,0,-1,1.4063912630081177
194,6,-0.052950000000000004,False,2.0,3.0,5.0,94.0999984741211,5.0,195,94.1,167.69998168945312,0,-1,1.4063912630081177
195,3,-0.053450000000000004,False,3.0,3.0,5.0,93.0999984741211,5.0,196,93.1,167.69998168945312,0,-1,2.0606815814971924
196,5,-0.05380000000000001,False,3.0,3.0,4.0,92.4000015258789,4.0,197,92.39999999999999,167.69998168945312,0,-1,2.3514506816864014
197,1,-0.05430000000000001,False,3.0,4.0,4.0,91.4000015258789,4.0,198,91.39999999999999,167.69998168945312,0,-1,2.5543675422668457
